DISTANCE_IN_METERS,DURATION_IN_SEC,NDT_IN_KMH,ORGANISATION,POINT_1_CITY,POINT_1_COUNTRY,POINT_1_LAT,POINT_1_LNG,POINT_1_NAME,POINT_1_POSTAL_CODE,POINT_1_STREET,POINT_1_STREET_NUMBER,POINT_2_CITY,POINT_2_COUNTRY,POINT_2_LAT,POINT_2_LNG,POINT_2_NAME,POINT_2_POSTAL_CODE,POINT_2_STREET,POINT_2_STREET_NUMBER,RBA_ID,REPORT_ID,REPORT_NAME,ROAD_TYPE,_id
1095,56,70,COWI,Aarhus,Denmark,56.17941549701764,10.130153804893553,4342,8210,Viborgvej,322,Tilst,Denmark,56.182637286706964,10.113531440475526,4335,8381,Langørvej,36,229140,193402,AAR_BT_0348 4342 4335,MAJOR_ROAD,269
2050,100,74,COWI,,Denmark,56.0855852379219,10.124126151537894,4555,,,,Tranbjerg,Denmark,56.10097260933967,10.140579996364522,4558,8310,Landevejen,,229455,197951,AAR_BT_0415 4555 4558,MAJOR_ROAD,336
1325,95,50,COWI,Højbjerg,Denmark,56.11692219631463,10.202164315973278,4368,8270,Rosenvangs Alle,233,Højbjerg,Denmark,56.12391430736949,10.185914784061424,4568,8270,Rosenvangs Alle,118,229489,201237,AAR_BT_0432 4368 4568,MAJOR_ROAD,353
1075,65,60,COWI,Højbjerg,Denmark,56.114487000000004,10.207854230653766,4379,8270,Oddervej,89,Højbjerg,Denmark,56.105069529457616,10.206927436840033,4372,8270,Oddervej,172,229507,201481,AAR_BT_0441 4379 4372,MAJOR_ROAD,362
530,32,60,COWI,,Denmark,56.1589844936963,10.182944170639075,3185,,,,,Denmark,56.162446952950255,10.17839594725615,3157,,,,189740,188013,AAR_BT_0250 3185 3157,MAJOR_ROAD,184
1490,105,51,COWI,Aarhus,Denmark,56.161017815103236,10.21197608217426,4374,8000,Nørreport,20,,Denmark,56.14892750591274,10.209599775463175,4552,,,,192344,190100,AAR_BT_0266 4374 4552,MAJOR_ROAD,200
1315,59,80,COWI,Tilst,Denmark,56.18959388227456,10.07666460978703,4333,8381,Viborgvej,,Tilst,Denmark,56.18546282170713,10.096344851520598,4347,8381,Tilst Parkvej,11,229130,193268,AAR_BT_0343 4333 4347,MAJOR_ROAD,264
2050,100,74,COWI,Tranbjerg,Denmark,56.10097260933967,10.140579996364522,4558,8310,Landevejen,,,Denmark,56.085683261757154,10.12394711408615,4555,,,,229457,197977,AAR_BT_0416 4558 4555,MAJOR_ROAD,337
800,48,60,COWI,,Denmark,56.17243586196818,10.209219127208598,3183,,,,Aarhus,Denmark,56.17606861552515,10.201770887067823,3977,8200,Randersvej,54,189708,187589,AAR_BT_0234 3183 3977,MAJOR_ROAD,168
515,35,53,COWI,,Denmark,56.1589844936963,10.182944170639075,3185,,,,,Denmark,56.159418709313904,10.187763760747885,3156,,,,189744,188066,AAR_BT_0252 3185 3156,MAJOR_ROAD,186
575,30,69,COWI,Ega,Denmark,56.206985193530365,10.267323856483472,4569,8250,Grenåvej,,Ega,Denmark,56.210806441766366,10.269670626983498,4356,8250,Mejlbyvej,4,229096,192813,AAR_BT_0324 4569 4356,MAJOR_ROAD,247
1220,47,93,COWI,Aarhus,Denmark,56.208646307573304,10.161157250404358,4349,8200,Søftenvej,,Aarhus,Denmark,56.21399075104399,10.145073305557275,4326,8200,15,,160867,158744,AAR_BT_0015 4349 4326,MAJOR_ROAD,15
1585,89,64,COWI,,Denmark,56.154610138216704,10.157440224536913,3199,,,,,Denmark,56.148158423711955,10.149694601188685,2653,,,,189678,187191,AAR_BT_0219 3199 2653,MAJOR_ROAD,153
725,48,54,COWI,,Denmark,56.163969409207326,10.185844404928275,3193,,,,,Denmark,56.159418709313904,10.187763760747885,3156,,,,189736,187960,AAR_BT_0248 3193 3156,MAJOR_ROAD,182
2280,132,62,COWI,Risskov,Denmark,56.210237386910975,10.21333293005955,4358,8240,Sindalsvej,40,Aarhus,Denmark,56.2049938543326,10.17926542270186,4365,8200,Skejby Nordlandsvej,311,229072,192492,AAR_BT_0302 4358 4365,MAJOR_ROAD,235
1195,61,71,COWI,Aarhus,Denmark,56.118198830180894,10.148353690807198,4334,8260,Ringvej Syd,100,Aarhus,Denmark,56.125743621869944,10.15788067857352,3986,8260,Skanderborgvej,224B,229539,201908,AAR_BT_0457 4334 3986,MAJOR_ROAD,378
